60004305;	970;	0;	2021@11@18
60004316;	4578;	0;	2021@11@18
60004317;	3222;	0;	2021@11@14
60004318;	9982;	0;	2021@12@18
60004328;	1150;	1;	2021@11@18
60004329;	999;	0;	2021@11@04
60004330;	874;	0;	2021@11@04
60004331;	862,42;	0;	2021@11@18
60004365;	2032;	0;	2021@11@18
60004376;	167;	0;	2021@11@18
60004377;	165;	0;	2021@11@18
60004486;	332;	0;	2021@12@19
60004488;	332;	0;	2021@11@18
60004489;	16453;	0;	2021@11@06
60004490;	16453;	0;	2021@11@18
60004496;	216;	0;	2021@12@16
60004499;	823;	0;	2021@11@18
60004516;	8185;	0;	2021@11@21
60004517;	2078;	0;	2021@12@06
60004518;	1506;	0;	2021@11@22
60004519;	2745;	0;	2021@12@21
60004523;	3491;	0;	2021@11@24
60004524;	2910;	0;	2021@11@08
60004525;	2586;	4;	2022@01@24
60004526;	2663;	0;	2021@11@18
60004527;	4324;	0;	2021@11@18
60004529;	599;	0;	2021@11@17
60004544;	435;	1;	2021@12@29
60004557;	1031;	6;	2022@01@11
60004575;	5899;	0;	2021@11@18
60004576;	7241;	0;	2021@11@16
60004577;	14790;	0;	2021@11@18
60004582;	8097;	0;	2021@11@18
60004584;	5723;	0;	2021@11@18
60004585;	7206;	0;	2021@11@18
60004621;	90406;	0;	2021@11@18
60004622;	103211;	0;	2021@11@18
60004633;	216;	0;	2021@11@18
60004634;	343;	0;	2021@11@18
60004650;	438;	0;	2021@11@18
60004676;	290;	8;	2021@11@13
60004677;	290;	0;	2021@11@18
60004679;	6952;	0;	2021@11@18
60004680;	8647;	0;	2022@01@03
60004691;	523;	0;	2021@11@22
60004704;	380;	1;	2022@02@16
60004708;	1900;	0;	2021@10@30
60004780;	13352;	0;	2021@11@18
60004781;	211;	0;	2021@11@22
60004782;	211;	0;	2021@11@18
60004786;	207;	0;	2021@11@18
60004787;	207;	0;	2021@11@18
60004811;	1975;	0;	2021@11@26
60004824;	2508;	0;	2021@11@07
60004825;	3295;	0;	2021@11@29
60004856;	189;	0;	2021@11@18
60004882;	2057;	0;	2021@11@11
60004884;	2637;	0;	2021@11@18
60004912;	1674;	3;	2022@01@01
60004913;	1530;	8;	2021@12@02
60004921;	4079;	0;	2021@10@29
60004941;	2450;	0;	2021@11@18
60004971;	4583;	0;	2021@11@12
60004972;	6533;	0;	2021@11@18
60004973;	12431;	0;	2021@11@12
60004983;	9737;	0;	2021@11@12
60004990;	189;	0;	2021@11@18
60004993;	941;	0;	2021@11@18
60W POE INJECTOR EU;	57,8;	0;	2021@11@15
80000009;	7829;	0;	2021@11@18
80000010;	5193;	0;	2021@11@05
CS-CMT-BATTERY-A;	24,2;	15;	2021@12@09
CS-CMT-BRACKET-A;	6,9;	8;	2021@11@18
CS-CMT-CHARGER-A;	13,8;	18;	2022@02@27
CS-CV228-A0-3C2WFR;	69,1;	6;	2021@11@18
CS-CV246-B0-3B2WFR;	41,4;	14;	2021@11@18
CS-CV310-A0-1B2WFR;	69,1;	20;	2021@11@18
CS-LC1-A0-1B2WPFRL;	75,89;	0;	2021@11@12
CS-W2D-EUP;	89,8;	10;	2021@11@18
CS-WLB-B1-EUP;	241,6;	54;	2021@11@14
DS-1005KI;	161,2;	1;	2021@11@05
DS-1227ZJ;	16,4;	0;	2021@11@28
DS-1227ZJ-DM32;	14,7;	0;	2021@12@22
DS-1227ZJ-DM37;	19,4;	0;	2021@11@04
DS-1227ZJ-PT6;	9,9;	0;	2021@12@31
DS-1250ZJ;	5,8;	22;	2021@11@05
DS-1250ZJ(BLACK);	9,9;	0;	2021@12@27
DS-1253ZJ-M;	8,2;	0;	2021@11@05
DS-1258ZJ;	5,1;	12;	2021@11@05
DS-1258ZJ(BLACK);	5,1;	0;	2022@01@10
DS-1259ZJ;	3,4;	7;	2021@10@29
DS-1259ZJ(BLACK);	3,4;	0;	2021@12@12
DS-1260ZJ;	9,9;	20;	2021@11@05
DS-1271ZJ-110;	23,5;	8;	2021@11@22
DS-1271ZJ-110(BLACK);	23,5;	0;	2021@12@25
